City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
146,Aswan,EG,24.09,32.91,94.51,19,0,5.23,clear sky
147,Staryy Nadym,RU,65.61,72.68,61.7,64,98,14.5,overcast clouds
148,Bredasdorp,ZA,-34.53,20.04,55.4,93,100,3.36,light rain
149,Mumford,GH,5.26,-0.76,73.65,88,100,7.87,overcast clouds
150,Bhadrachalam,IN,17.67,80.88,87.21,76,100,6.82,moderate rain
151,Port Elizabeth,ZA,-33.92,25.57,59.0,93,75,9.17,light intensity drizzle
152,Port Hueneme,US,34.15,-119.2,72.0,88,1,5.82,clear sky
153,Miraflores,MX,19.22,-98.81,60.8,63,75,11.41,broken clouds
154,Sakaiminato,JP,35.55,133.23,87.8,66,20,12.75,few clouds
155,Novomikhaylovskiy,RU,44.26,38.86,77.88,39,0,12.26,clear sky
156,Loiza,PR,18.43,-65.88,82.4,78,40,4.7,scattered clouds
157,Dunedin,NZ,-45.87,170.5,50.0,90,100,2.1,overcast clouds
158,Wallaceburg,CA,42.59,-82.39,71.6,100,90,5.46,fog
159,Lahat,ID,-3.8,103.53,92.64,40,11,6.29,few clouds
160,Palmer,US,42.16,-72.33,66.2,100,20,1.61,few clouds
161,Klaksvik,FO,62.23,-6.59,46.4,93,100,2.24,light rain
162,Promyshlennyy,RU,67.58,63.92,57.22,54,0,4.54,clear sky
163,Hambantota,LK,6.12,81.12,93.2,56,40,9.17,scattered clouds
164,Constitucion,CL,-35.33,-72.42,50.36,81,100,15.84,overcast clouds
165,Ribeira Grande,PT,38.52,-28.7,73.4,88,75,10.29,broken clouds
166,Pag,HR,44.45,15.06,80.6,51,3,12.75,clear sky
167,Faya,SA,18.39,42.45,82.4,36,10,9.17,clear sky
168,La Asuncion,VE,11.03,-63.86,80.6,83,100,4.7,overcast clouds
169,Vila Do Maio,CV,15.13,-23.22,80.6,83,20,3.36,few clouds
170,Najran,SA,17.49,44.13,96.8,15,41,4.7,scattered clouds
171,Akcakoca,TR,41.09,31.12,79.57,53,0,3.0,clear sky
172,Sao Gabriel Da Cachoeira,BR,-0.13,-67.09,71.62,83,45,0.69,scattered clouds
173,Igrim,RU,63.19,64.42,64.33,59,30,4.07,scattered clouds
174,Kloulklubed,PW,7.04,134.26,87.8,70,75,10.29,broken clouds
175,Aklavik,CA,68.22,-135.01,64.4,68,40,4.7,scattered clouds
176,Khrebtovaya,RU,56.7,104.25,69.28,47,100,6.04,overcast clouds
