City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
115,Kaeo,NZ,2020-08-24 00:16:28,-35.1,173.78,63.0,3,78,10.0
116,Talnakh,RU,2020-08-24 00:16:57,69.49,88.4,59.0,77,100,15.66
117,Teya,RU,2020-08-24 00:21:28,60.38,92.63,52.74,81,70,1.74
118,Meulaboh,ID,2020-08-24 00:15:52,4.14,96.13,76.69,85,83,5.7
119,Te Anau,NZ,2020-08-24 00:16:05,-45.42,167.72,50.4,66,82,1.12
120,The Valley,AI,2020-08-24 00:16:49,18.22,-63.06,84.2,79,75,11.41
121,Bubaque,GW,2020-08-24 00:16:22,11.28,-15.83,80.71,82,98,10.18
122,Qaanaaq,GL,2020-08-24 00:14:59,77.48,-69.36,36.5,88,100,2.93
123,Alofi,NU,2020-08-24 00:16:16,-19.06,-169.92,80.6,65,40,17.22
124,Severo-Kurilsk,RU,2020-08-24 00:15:35,50.68,156.12,55.29,78,44,3.53
125,Alyangula,AU,2020-08-24 00:21:29,-13.85,136.42,77.0,57,0,8.05
126,Sezze,IT,2020-08-24 00:21:30,41.5,13.06,73.0,87,0,0.45
127,Dire,ML,2020-08-24 00:21:30,12.28,-10.97,73.18,92,85,2.84
128,Callaway,US,2020-08-24 00:21:30,30.15,-85.57,77.0,94,90,6.93
129,Bluff,NZ,2020-08-24 00:10:18,-46.6,168.33,55.99,79,27,5.99
130,Nurota,UZ,2020-08-24 00:21:31,40.56,65.69,77.0,29,54,9.17
131,Vaini,TO,2020-08-24 00:15:18,-21.2,-175.2,82.4,74,20,8.05
132,Ancud,CL,2020-08-24 00:15:03,-41.87,-73.82,46.4,93,90,6.93
133,Cap Malheureux,MU,2020-08-24 00:16:00,-19.98,57.61,71.01,75,27,5.99
134,Dandong,CN,2020-08-24 00:21:31,40.13,124.39,70.29,89,100,10.6
135,Ekimchan,RU,2020-08-24 00:21:32,53.07,132.97,60.89,66,100,3.33
136,Pevek,RU,2020-08-24 00:12:06,69.7,170.31,37.78,96,100,2.17
137,Samfya,ZM,2020-08-24 00:19:04,-11.36,29.56,61.59,63,19,6.96
138,San Luis,AR,2020-08-24 00:21:32,-33.3,-66.34,54.93,37,0,6.98
139,Soyo,AO,2020-08-24 00:21:33,-6.13,12.37,72.82,91,50,7.25
140,Mayo,US,2020-08-24 00:16:01,38.89,-76.51,84.2,70,1,3.36
141,Lubbock,US,2020-08-24 00:21:33,33.6,-101.83,91.4,27,1,12.75
142,East London,ZA,2020-08-24 00:14:54,-33.02,27.91,59.45,76,20,7.54
143,Pakxan,LA,2020-08-24 00:21:34,18.38,103.66,75.87,94,100,0.58
144,Gravdal,NO,2020-08-24 00:21:34,68.12,13.5,52.68,78,68,15.9
145,Belle Fourche,US,2020-08-24 00:21:34,44.67,-103.85,90.0,31,1,9.17
146,New Norfolk,AU,2020-08-24 00:11:07,-42.78,147.06,48.99,81,9,4.54
147,Tiksi,RU,2020-08-24 00:15:29,71.69,128.87,40.05,77,97,12.64
148,Nhulunbuy,AU,2020-08-24 00:21:35,-12.23,136.77,82.4,54,40,16.11
149,Codrington,AU,2020-08-24 00:15:04,-38.27,141.97,45.97,84,86,7.74
150,Chicaman,GT,2020-08-24 00:21:35,15.4,-90.77,64.22,99,100,0.67
151,Ilulissat,GL,2020-08-24 00:14:59,69.22,-51.1,42.8,75,0,3.51
152,Nisia Floresta,BR,2020-08-24 00:21:36,-6.09,-35.21,77.0,73,94,11.41
153,Upernavik,GL,2020-08-24 00:15:36,72.79,-56.15,43.25,88,94,0.94
154,Victoria,HK,2020-08-24 00:11:51,22.29,114.16,84.99,83,18,8.01
155,Tuktoyaktuk,CA,2020-08-24 00:15:15,69.45,-133.04,69.8,56,75,11.41
156,Pobe,BJ,2020-08-24 00:21:37,6.98,2.66,69.73,95,43,3.65
157,Kodiak,US,2020-08-24 00:15:28,57.79,-152.41,59.32,76,89,5.59
158,Posse,BR,2020-08-24 00:21:38,-14.09,-46.37,71.13,60,34,10.25
159,Kurilsk,RU,2020-08-24 00:21:38,45.23,147.88,63.0,69,95,3.0
160,Palana,RU,2020-08-24 00:21:40,59.12,159.97,45.16,90,100,8.41
161,Nikolskoye,RU,2020-08-24 00:10:58,59.7,30.79,61.0,87,98,4.47
162,Kuala Terengganu,MY,2020-08-24 00:18:27,5.33,103.14,77.0,94,20,3.36
163,Antsohihy,MG,2020-08-24 00:21:40,-14.88,47.99,68.79,67,82,9.15
164,Andenes,NO,2020-08-24 00:21:40,69.31,16.12,51.8,81,100,9.17
165,Muravlenko,RU,2020-08-24 00:21:41,63.79,74.52,51.62,89,100,5.1
166,Nalut,LY,2020-08-24 00:21:41,30.33,10.85,77.09,46,0,11.74
167,Kristiansund,NO,2020-08-24 00:21:21,63.11,7.73,46.4,81,92,20.8
168,Presidente Olegario,BR,2020-08-24 00:21:41,-18.42,-46.42,61.0,30,54,6.4
169,College,US,2020-08-24 00:21:42,64.86,-147.8,68.0,56,75,3.65
170,Jardim,BR,2020-08-24 00:15:39,-21.48,-56.14,64.45,75,0,6.24
171,Samarai,PG,2020-08-24 00:21:43,-10.62,150.67,76.26,77,100,13.91
172,Albuquerque,US,2020-08-24 00:21:43,35.08,-106.65,93.99,14,75,6.93
173,Sinnamary,GF,2020-08-24 00:15:12,5.38,-52.95,80.17,83,64,11.07
174,Lowestoft,GB,2020-08-24 00:21:44,52.48,1.75,60.01,95,83,1.01
175,Zhigansk,RU,2020-08-24 00:11:25,66.77,123.37,44.2,75,17,16.2
176,Makakilo City,US,2020-08-24 00:21:44,21.35,-158.09,91.4,46,75,9.17
177,Staunton,US,2020-08-24 00:21:45,38.15,-79.07,77.0,73,1,8.05
178,Arraial Do Cabo,BR,2020-08-24 00:14:58,-22.97,-42.03,67.46,63,3,11.12
179,Binzhou,CN,2020-08-24 00:20:01,37.37,118.02,86.0,73,96,3.0
180,Taunggyi,MM,2020-08-24 00:21:45,20.78,97.03,63.73,100,100,3.42
181,Katsuura,JP,2020-08-24 00:16:23,35.13,140.3,84.99,68,99,5.99
182,Muros,ES,2020-08-24 00:16:43,42.78,-9.06,64.99,83,1,3.0
183,Half Moon Bay,US,2020-08-24 00:13:29,37.46,-122.43,78.01,69,40,8.05
184,Abapo,BO,2020-08-24 00:21:46,-18.83,-63.47,60.69,69,0,0.83
185,Inhambane,MZ,2020-08-24 00:17:04,-23.86,35.38,64.56,77,0,8.01
186,Maceio,BR,2020-08-24 00:14:40,-9.67,-35.74,71.6,88,20,2.24
187,Luderitz,NA,2020-08-24 00:16:16,-26.65,15.16,56.79,73,0,9.31
188,Portland,US,2020-08-24 00:12:35,45.52,-122.68,84.0,32,20,8.05
189,Puerto Ayora,EC,2020-08-24 00:15:19,-0.74,-90.35,66.99,86,72,3.0
190,Apomu,NG,2020-08-24 00:21:48,7.33,4.18,69.24,95,90,1.57
191,Bilma,NE,2020-08-24 00:21:48,18.69,12.92,92.12,37,38,15.97
192,Lichinga,MZ,2020-08-24 00:21:48,-13.31,35.24,59.0,87,75,6.93
