City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
310,Manaus,BR,77.0,clear sky,-3.1,-60.02,Hotel do Largo
311,Pauini,BR,65.57,clear sky,-7.71,-66.98,Casa do Kiwliks
312,Batagay-Alyta,RU,40.53,overcast clouds,67.8,130.41,
313,Haines Junction,CA,48.15,overcast clouds,60.75,-137.51,Parkside Inn
314,Port Hawkesbury,CA,64.4,scattered clouds,45.62,-61.35,Hearthstone Inn Port Hawkesbury
315,Bungu,TZ,75.51,overcast clouds,-7.63,39.06,Jaja Lodge
316,Jiayuguan,CN,88.5,scattered clouds,39.82,98.3,Jiugang Hotel - Jiayuguan
317,Buchanan,LR,73.4,light rain,5.88,-10.05,Kamaneahn Hotel Inc
318,Lusambo,CD,77.11,overcast clouds,-4.97,23.45,
319,Sinnamary,GF,77.22,scattered clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
320,Olinda,BR,71.6,scattered clouds,-8.01,-34.86,Hotel 5 Sóis
321,Huarmey,PE,59.23,scattered clouds,-10.07,-78.15,Hotel Miramar
322,Bambous Virieux,MU,75.0,shower rain,-20.34,57.76,Casa Tia Villa
323,Parker,US,79.0,clear sky,32.77,-97.8,Candlewood Suites Weatherford
324,Belaya Gora,RU,41.09,overcast clouds,68.53,146.42,
325,Beyneu,KZ,76.23,overcast clouds,45.32,55.2,NUR
326,Fukue,JP,86.0,few clouds,32.69,128.84,Goto Guesthouse Utojuku & SA Car Rental
327,Tecoanapa,MX,76.26,light rain,16.52,-98.75,Hotel Manglares
328,Paris,FR,60.01,scattered clouds,48.85,2.35,Citadines Saint-Germain-des-Prés Paris
329,Ayan,RU,57.85,overcast clouds,56.45,138.17,Gostinitsa
330,Elko,US,78.8,clear sky,41.0,-115.5,
331,Kulhudhuffushi,MV,84.4,overcast clouds,6.62,73.07,Haajy Guest House 1
332,Newtownards,GB,48.99,mist,54.59,-5.69,Strangford Arms Hotel
333,Iisalmi,FI,59.0,broken clouds,63.56,27.19,Original Sokos Hotel Koljonvirta
334,Kodino,RU,65.95,clear sky,63.72,39.64,
335,Ahuimanu,US,82.4,few clouds,21.44,-157.84,Paradise Bay Resort
336,Aberdeen,GB,48.2,clear sky,57.14,-2.1,Premier Inn Aberdeen City Centre hotel
337,Ahipara,NZ,55.29,light rain,-35.17,173.17,Ahipara Holiday Park
